Citizen Capital, Food Quantity Demanded, Food Quantity, Food Unmet Demand, Firm Food Production
5, 5, 0, 5, 0
9, 10, 0, 9, 1
12, 14, 0, 12, 2
14, 17, 0, 14, 3
15, 19, 0, 15, 4
15, 20, 0, 15, 5
14, 20, 0, 14, 6
12, 19, 0, 12, 7
9, 17, 0, 9, 8
5, 14, 0, 5, 9
0, 10, 0, 0, 10
0, 5, 6, 0, 11
0, 5, 11, 0, 10
0, 5, 15, 0, 9
0, 5, 18, 0, 8
0, 5, 20, 0, 7
0, 5, 21, 0, 6
0, 5, 21, 0, 5
0, 5, 20, 0, 4
0, 5, 18, 0, 3
0, 5, 15, 0, 2
0, 5, 11, 0, 1
0, 5, 6, 0, 0
0, 5, 0, 0, -1
5, 5, 0, 5, 0
9, 10, 0, 9, 1
12, 14, 0, 12, 2
14, 17, 0, 14, 3
15, 19, 0, 15, 4
15, 20, 0, 15, 5
14, 20, 0, 14, 6
12, 19, 0, 12, 7
9, 17, 0, 9, 8
5, 14, 0, 5, 9
0, 10, 0, 0, 10
0, 5, 6, 0, 11
0, 5, 11, 0, 10
0, 5, 15, 0, 9
0, 5, 18, 0, 8
0, 5, 20, 0, 7
0, 5, 21, 0, 6
0, 5, 21, 0, 5
0, 5, 20, 0, 4
0, 5, 18, 0, 3
0, 5, 15, 0, 2
0, 5, 11, 0, 1
0, 5, 6, 0, 0
0, 5, 0, 0, -1
5, 5, 0, 5, 0
9, 10, 0, 9, 1
12, 14, 0, 12, 2
14, 17, 0, 14, 3
15, 19, 0, 15, 4
15, 20, 0, 15, 5
14, 20, 0, 14, 6
12, 19, 0, 12, 7
9, 17, 0, 9, 8
5, 14, 0, 5, 9
0, 10, 0, 0, 10
0, 5, 6, 0, 11
0, 5, 11, 0, 10
0, 5, 15, 0, 9
0, 5, 18, 0, 8
0, 5, 20, 0, 7
0, 5, 21, 0, 6
0, 5, 21, 0, 5
0, 5, 20, 0, 4
0, 5, 18, 0, 3
0, 5, 15, 0, 2
0, 5, 11, 0, 1
0, 5, 6, 0, 0
0, 5, 0, 0, -1
5, 5, 0, 5, 0
9, 10, 0, 9, 1
12, 14, 0, 12, 2
14, 17, 0, 14, 3
15, 19, 0, 15, 4
15, 20, 0, 15, 5
14, 20, 0, 14, 6
12, 19, 0, 12, 7
9, 17, 0, 9, 8
5, 14, 0, 5, 9
0, 10, 0, 0, 10
0, 5, 6, 0, 11
0, 5, 11, 0, 10
0, 5, 15, 0, 9
0, 5, 18, 0, 8
0, 5, 20, 0, 7
0, 5, 21, 0, 6
0, 5, 21, 0, 5
0, 5, 20, 0, 4
0, 5, 18, 0, 3
0, 5, 15, 0, 2
0, 5, 11, 0, 1
0, 5, 6, 0, 0
0, 5, 0, 0, -1
5, 5, 0, 5, 0
9, 10, 0, 9, 1
12, 14, 0, 12, 2
14, 17, 0, 14, 3
